"genes"	"modules"
"GUCY1A2"	"M1"
"DPYSL4"	"M1"
"ICAM5"	"M1"
"EBF2"	"M1"
"HAS3"	"M1"
"SYT15B"	"M1"
"H4C15"	"M2"
"TRABD2A"	"M2"
"SFRP4"	"M1"
"IL1RL1"	"M2"
"PLPP2"	"M1"
"SULT1A4"	"M2"
"LIF"	"M1"
"TPTEP1"	"M1"
"NPTX2"	"M1"
"FGFR3"	"M1"
"OSBPL10"	"M1"
"SLC31A2"	"M2"
"CLCA2"	"M3"
"PPM1L"	"M1"
"LOC107987373"	"M1"
"FAM83H"	"M1"
"METTL27"	"M1"
"EXOC6"	"M4"
"SAMD3"	"M1"
"MAMDC2"	"M1"
"SGCG"	"M1"
"RGPD2"	"M4"
"PHACTR3"	"M3"
"KRT34"	"M1"
"GSTO2"	"M1"
"PIM2"	"M1"
"ASPN"	"M1"
"SUSD2"	"M2"
"EPHX2"	"M1"
"PCSK9"	"M1"
"CORO2A"	"M1"
"PSG8"	"M1"
"LGR5"	"M1"
"SIM2"	"M1"
"ZNF487"	"M4"
"ABCA10"	"M1"
"VPS52"	"M1"
"LIPC"	"M1"
"RPS6KA5"	"M4"
"BIRC3"	"M1"
"SERPINB2"	"M3"
"IL32"	"M1"
"ISG20"	"M1"
"NEFH"	"M1"
"RPL36AP37"	"M1"
"NCKAP5"	"M1"
"NPEPPSP1"	"M1"
"RBM47"	"M1"
"CXCL14"	"M1"
"ZNF804A"	"M1"
"RAD51B"	"M1"
"TNFAIP6"	"M1"
"FAM157A"	"M1"
"CSNK2B"	"M1"
"ICOSLG"	"M3"
"CIITA"	"M1"
"LEP"	"M1"
"AMT"	"M2"
"TMEFF2"	"M1"
"BCHE"	"M1"
"TFAP2A"	"M1"
"METTL7B"	"M3"
"OLFM2"	"M2"
"ZBTB22"	"M1"
"EPSTI1"	"M1"
"SKA1"	"M1"
"DRAXIN"	"M3"
"CHRDL1"	"M1"
"GPR4"	"M1"
"DUOX1"	"M3"
"SLC52A1"	"M3"
"TENT5C"	"M3"
"PTPRQ"	"M1"
"ACER2"	"M3"
"DUSP2"	"M1"
"RIPOR3"	"M1"
"NGEF"	"M1"
"MPV17L"	"M2"
"ADAM22"	"M1"
"PDE1A"	"M1"
"RALGPS1"	"M1"
"GPR137C"	"M1"
"IHO1"	"M1"
"SCARA5"	"M1"
"BMP8A"	"M1"
"ADRA1B"	"M1"
"AARD"	"M1"
"SHANK3"	"M2"
"POLR2J2"	"M1"
"MARK1"	"Not.Correlated"
"USP32P1"	"M1"
"FAIM2"	"M1"
"PCDHB16"	"M1"
